OrganizationIdentifier,MonitoringLocationIdentifier,ML_ID,ML_Name,Latitude,Longitude,HUC10_ID,Name_AU,AUID_ATTNS,Type,NavStatus
AKDECWQ,AKDECWQ-AU02_HSLP,AU02_HSLP,Auke Bay 02,58.381100000000004,-134.682,1901030107,Auke Bay,AK_M_1030107_002,Marine,Navigable
AKDECWQ,AKDECWQ-BL-1,BL-1,Birch Lake,64.304991000000001,-146.665853,1908030709,Birch Lake,AK_L_8030709_001,Lake,Unknown
AKDECWQ,AKDECWQ-CHS02_HSLP,CHS02_HSLP,Chatham Strait 02,57.452333330000002,-134.7856667,1901050007,Chatham Strait,AK_M_1050007_001,Marine,Navigable
AKDECWQ,AKDECWQ-CHS03_HSLP,CHS03_HSLP,Chatham Strait 03,58.322666669999997,-134.9861667,1901030108,Lynn Canal,AK_M_1030108_001,Marine,Navigable
AKDECWQ,AKDECWQ-CL-1,CL-1,Chena Lake southeast parking lot,64.768754000000001,-147.214083,1908030609,Chena Lake,AK_L_8030609_003,Lake,Unknown
AKDECWQ,AKDECWQ-CS01_HSLP,CS01_HSLP,Clarence Strait 01,55.442700000000002,-131.8493667,1901010210,Inside Passage Gravina Island-Frontal Clarence Strait,AK_M_1010210_003,Marine,Navigable
AKDECWQ,AKDECWQ-CS02_HSLP,CS02_HSLP,Clarence Strait 02,55.823500000000003,-132.4271667,1901050009,Clarence Strait,AK_M_1050009_001,Marine,Navigable
AKDECWQ,AKDECWQ-CS03_HSLP,CS03_HSLP,Clarence Strait 03,56.134833329999999,-132.7785,1901050009,Clarence Strait,AK_M_1050009_001,Marine,Navigable
AKDECWQ,AKDECWQ-CS-1,CS-1,Chena Slough Mission,64.754003999999995,-147.327003,1908030609,Chena Slough,AK_R_8030609_004_001,River,Unknown
AKDECWQ,AKDECWQ-CS-2,CS-2,Chena Slough Airway,64.769520000000000,-147.343164,1908030609,Chena Slough,AK_R_8030609_004_001,River,Unknown
