Active_AUID,Retired_AUID,Historical_AUID
AK_R_7050606_005,AK-40401-001_00,
AK_R_7050610_007,AK-70506-006,
AK_R_7050611_001,AK-70506-007,
AK_R_7050611_002,AK-70506-004,
AK_R_7050612_001,AK-70506-003,
AK_R_7050612_002,AK-70506-008,
AK_R_7050614_002,AK-70506-002,
AK_R_7050617_008,AK-70506-005,
AK_R_8010515_002,AK-40205-001,AK-40205-001_00
AK_R_8030102_007,AK-80301-009,
AK_R_8030103_004,AK-80301-010,
AK_R_8030103_008,AK-80301-014,
AK_R_8030103_009,AK-80301-005,
AK_R_8030103_013,AK-80301-012,
AK_R_8030103_029,AK-80301-015,
AK_R_8030107_002,AK-80301-016,
AK_R_8030109_002,AK-80301-013,
AK_R_8030112_008,AK-40501-001_00,
AK_R_8030113_002,AK-80301-001,
AK_R_8030113_003,AK-80301-011,
AK_R_8030113_005,AK-80301-003,
AK_R_8030113_008,AK-80301-002,
AK_R_8030113_011,AK-80301-004,
AK_R_8030114_004,AK-80301-017,
AK_R_8030313_002,AK-40503-001_00,
AK_R_8030508_011,AK-40505-001_00,
AK_R_8030609_003,AK-40506-007_00,
AK_R_8030609_004_001,AK-40506-002_00,
AK_R_8030609_004_002,AK-40506-002_00,
AK_R_8030609_017,AK-40506-003_00,
AK_R_8030709_008,AK-40507-004,AK-40507-004_00
AK_R_8030710_002_001,AK-40506-009_00,
AK_R_8030710_004,AK-40507-001_00,
AK_R_8030710_005,AK-40507-002_00,
AK_R_8030713_001,AK-40507-006,AK-40507-006_00
AK_R_8030713_004,AK-40507-005,AK-40507-005_00
AK_R_8030803_001,AK-80308-007,
AK_R_8030807_026,AK-80308-008,
AK_R_8030809_009,AK-40508-002,AK-40508-002_00
AK_R_8030810_005,AK-80308-006,
AK_R_8030810_007,AK-80308-002,
AK_R_8030811_003,AK-80308-004,
AK_R_8030811_004,AK-80308-009,
AK_R_8030811_006,AK-80308-003,
AK_R_8030811_008,AK-80308-005,
AK_R_8030811_009,AK-80308-010,
AK_R_8030906_009,AK-40509-002,AK-40509-002_00
AK_R_8030907_014_001,AK-40509-001_00,
AK_R_8031001_001,AK-80310-018,
